EmptyCells,Comparisons
0,0
1,49
2,99
3,146
4,195
5,237
6,282
7,321
8,387
9,441
10,487
11,545
12,598
13,640
14,724
15,754
16,814
17,985
18,917
19,1060
20,1074
21,1334
22,1147
23,1314
24,1478
25,1645
26,1830
27,1847
28,2356
29,2480
30,2414
31,2589
32,3001
33,3247
34,4030
35,4315
36,4245
37,5950
38,6284
39,10693
40,12440
41,6954
42,17233
43,18725
44,16531
45,47314
46,29827
47,62342
48,64939
49,165763
50,99304
51,180709
52,521529
53,228155
54,520439
55,529026
56,679594
57,190967
58,1788275
59,1038008
60,355890
61,19115571
62,6239000
63,379708
64,10501700
65,27929
66,18767
67,86858
68,36258
69,96148
70,15051
71,42611
72,17634
73,14240
74,19227
75,17079
76,17561
77,21935
78,19541
79,25870
80,24581
81,28062
